Ministry,Demand,Budget_2023_Revenue,Budget_2023_Capital,Budget_2023_Total,Percentage_of_Total,Budget_Category
Ministry of Agriculture and Farmers Welfare,Total,124982.96,52.83,125035.79,1.3883309365201502,High
Ministry of Agriculture and Farmers Welfare,1. Department of Agriculture and Farmers Welfare,115489.37,42.42,115531.79,1.282803573349273,High
Ministry of Agriculture and Farmers Welfare,2. Department of Agricultural Research and Education,9493.59,10.41,9504.0,0.10552736317087698,Medium
Department of Atomic Energy,Total,9096.99,15981.5,25078.49,0.27845821990816566,High
Department of Atomic Energy,3. Atomic Energy,9096.99,15981.5,25078.49,0.27845821990816566,High
Ministry of  AYUSH,Total,3641.56,5.94,3647.5,0.040499900796062055,Low
Ministry of  AYUSH,4. Ministry of Ayush,3641.56,5.94,3647.5,0.040499900796062055,Low
Ministry of Chemicals and Fertilisers,Total,178477.21,4.78,178481.99,1.981769126493143,High
Ministry of Chemicals and Fertilisers,5. Department of Chemicals and Petrochemicals,172.55,0.9,173.45,0.0019258965848051987,Low
Ministry of Chemicals and Fertilisers,6. Department of Fertilisers,175145.79,2.69,175148.48,1.9447556037233884,High
Ministry of Chemicals and Fertilisers,7. Department of Pharmaceuticals,3158.87,1.19,3160.06,0.03508762618494965,Low
Ministry of Civil Aviation,Total,3026.7,86.66,3113.36,0.03456909421313989,Low
Ministry of Civil Aviation,8. Ministry of Civil Aviation,3026.7,86.66,3113.36,0.03456909421313989,Low
Ministry of Coal,Total,190.77,1.55,192.32,0.0021354190325150522,Low
Ministry of Coal,9. Ministry of Coal,190.77,1.55,192.32,0.0021354190325150522,Low
Ministry of Commerce and Industry,Total,11765.36,1689.85,13455.21,0.14939949833863797,Medium
Ministry of Commerce and Industry,10. Department of Commerce,5216.43,38.15,5254.58,0.05834406270732603,Medium
Ministry of Commerce and Industry,11. Department for Promotion of Industry and Internal Trade,6548.93,1651.7,8200.63,0.09105543563131194,Medium
Ministry of Communications,Total,60304.28,63088.77,123393.05,1.3700908249276285,High
Ministry of Communications,12. Department of Posts,24417.05,1396.95,25814.0,0.28662493191214417,High
Ministry of Communications,13. Department of Telecommunications,35887.23,61691.82,97579.05,1.0834658930154843,High
"Ministry of Consumer Affairs, Food and Public Distribution",Total,205586.16,178.44,205764.6,2.2847007230545278,High
"Ministry of Consumer Affairs, Food and Public Distribution",14. Department of Consumer Affairs,222.59,28.07,250.66,0.0027831953758851035,Low
"Ministry of Consumer Affairs, Food and Public Distribution",15. Department of Food and Public Distribution,205363.57,150.37,205513.94,2.2819175276786425,High
Ministry of Cooperation,Total,1149.38,1.0,1150.38,0.012773207917141568,Low
Ministry of Cooperation,16. Ministry of Cooperation,1149.38,1.0,1150.38,0.012773207917141568,Low
Ministry of Corporate Affairs,Total,714.19,42.0,756.19,0.008396331729396618,Low
Ministry of Corporate Affairs,17. Ministry of Corporate Affairs,714.19,42.0,756.19,0.008396331729396618,Low
Ministry of Culture,Total,3114.25,285.4,3399.65,0.03774790616623231,Low
Ministry of Culture,18. Ministry of Culture,3114.25,285.4,3399.65,0.03774790616623231,Low
Ministry of Defence,Total,422162.85,171374.79,593537.64,6.5903263985548435,High
Ministry of Defence,19. Ministry of Defence (Civil),13837.71,8774.79,22612.5,0.2510771779988905,High
Ministry of Defence,20. Defence Services (Revenue),270120.14,0.0,270120.14,2.9992704244053168,High
Ministry of Defence,21. Capital Outlay on Defence Services,0.0,162600.0,162600.0,1.8054239532391196,High
Ministry of Defence,22. Defence Pensions,138205.0,0.0,138205.0,1.5345548429115163,High
Ministry of Development  of North Eastern Region,Total,1798.75,4093.25,5892.0,0.06542163550113711,Medium
Ministry of Development  of North Eastern Region,23. Ministry of Development of North Eastern Region,1798.75,4093.25,5892.0,0.06542163550113711,Medium
Ministry of Earth Sciences,Total,2646.07,673.81,3319.88,0.036862182496183823,Low
Ministry of Earth Sciences,24. Ministry of Earth Sciences,2646.07,673.81,3319.88,0.036862182496183823,Low
Ministry of Education,Total,112886.4,13.07,112899.47,1.2535756915498242,High
Ministry of Education,25. Department of School Education and Literacy,68804.3,0.55,68804.85,0.7639724741022427,High
Ministry of Education,26. Department of Higher Education,44082.1,12.52,44094.62,0.48960321744758156,High
Ministry of Electronics and Information Technology,Total,16180.36,368.68,16549.04,0.18375174181495896,Medium
Ministry of Electronics and Information Technology,27. Ministry of Electronics and Information Technology,16180.36,368.68,16549.04,0.18375174181495896,Medium
"Ministry of Environment, Forests and Climate Change",Total,2934.02,145.38,3079.4,0.03419202042807224,Low
"Ministry of Environment, Forests and Climate Change","28. Ministry of Environment, Forests and Climate Change",2934.02,145.38,3079.4,0.03419202042807224,Low
Ministry of External Affairs,Total,16529.79,1520.21,18050.0,0.20041760366522826,Medium
Ministry of External Affairs,29. Ministry of External Affairs,16529.79,1520.21,18050.0,0.20041760366522826,Medium
Ministry of Finance,Total,1543366.57,146352.6,1689719.17,18.76174331958994,High
Ministry of Finance,30. Department of Economic Affairs,6321.62,4559.43,10881.05,0.12081739425825659,Medium
Ministry of Finance,31. Department of Expenditure,389.26,128.08,517.34,0.005744268314690814,Low
Ministry of Finance,32. Department of Financial Services,1112.35,212.29,1324.64,0.014708098311307921,Low
Ministry of Finance,33. Department of Public Enterprises,32.15,0.9,33.05,0.0003669696288717891,Low
Ministry of Finance,34. Department of Investment and Public Asset Management (DIPAM),93.46,1.46,94.92,0.0010539412155071172,Low
Ministry of Finance,35. Department of Revenue,146227.84,119.84,146347.68,1.6249668325521136,High
Ministry of Finance,36. Direct Taxes,8282.87,1608.0,9890.87,0.10982296197032113,Medium
Ministry of Finance,37. Indirect Taxes,36305.08,2205.0,38510.08,0.42759545432444507,High
Ministry of Finance,38. Indian Audit and Accounts Department,5669.93,136.2,5806.13,0.06446818067417129,Medium
Ministry of Finance,39. Interest Payments,1079971.0,0.0,1079971.0,11.991423814290316,High
Ministry of Finance,40. Repayment of Debt,0.0,0.0,0.0,0.0,
Ministry of Finance,41. Pensions,71701.0,0.0,71701.0,0.7961297839557081,High
Ministry of Finance,42. Transfers to States,187260.01,137381.4,324641.41,3.6046456200942303,High
"Ministry of Fisheries, Animal Husbandry and Dairying",Total,6517.46,59.16,6576.62,0.07302329200093148,Medium
"Ministry of Fisheries, Animal Husbandry and Dairying",43. Department of Fisheries,2228.37,20.4,2248.77,0.02496914651491719,Low
"Ministry of Fisheries, Animal Husbandry and Dairying",44. Department of Animal Husbandry and Dairying,4289.09,38.76,4327.85,0.0480541454860143,Low
Ministry of Food Processing Industries,Total,3285.19,2.46,3287.65,0.036504317711356656,Low
Ministry of Food Processing Industries,45. Ministry of Food Processing Industries,3285.19,2.46,3287.65,0.036504317711356656,Low
Ministry of Health and Family Welfare,Total,83853.86,5301.14,89155.0,0.9899297204860623,High
Ministry of Health and Family Welfare,46. Department of Health and Family Welfare,80874.66,5300.34,86175.0,0.9568413848116921,High
Ministry of Health and Family Welfare,47. Department of Health Research,2979.2,0.8,2980.0,0.03308833567437009,Low
Ministry of Heavy Industries ,Total,6145.32,26.31,6171.63,0.06852649835503782,Medium
Ministry of Heavy Industries ,48. Ministry of Heavy Industries,6145.32,26.31,6171.63,0.06852649835503782,Medium
Ministry of Home Affairs,Total,178016.18,18018.76,196034.94,2.176667751216443,High
Ministry of Home Affairs,49. Ministry of Home Affairs,5472.44,428.87,5901.31,0.06552500879144865,Medium
Ministry of Home Affairs,50. Cabinet,969.18,289.5,1258.68,0.013975713539132937,Low
Ministry of Home Affairs,51. Police,115946.87,11809.87,127756.74,1.418542918719203,High
Ministry of Home Affairs,52. Andaman and Nicobar Islands,5481.96,505.18,5987.14,0.0664780194796806,Medium
Ministry of Home Affairs,53. Chandigarh,4834.07,602.03,5436.1,0.060359564281692375,Medium
Ministry of Home Affairs,54. Dadra and Nagar Haveli and Daman and Diu,1526.86,948.14,2475.0,0.02748108415908254,Low
Ministry of Home Affairs,55. Ladakh,2808.08,3149.92,5958.0,0.06615446441204598,Medium
Ministry of Home Affairs,56. Lakshadweep,1109.52,285.23,1394.75,0.015486562477123385,Low
Ministry of Home Affairs,57. Transfers to Delhi,1168.0,0.01,1168.01,0.01296896206410101,Low
Ministry of Home Affairs,58. Transfers to Jammu and Kashmir,35581.44,0.0,35581.44,0.3950773927843822,High
Ministry of Home Affairs,59. Transfers to Puducherry,3117.76,0.01,3117.77,0.03461806050855062,Low
Ministry of Housing and Urban Affairs,Total,50434.33,25997.27,76431.6,0.8486558513185185,High
Ministry of Housing and Urban Affairs,60. Ministry of Housing and Urban Affairs,50434.33,25997.27,76431.6,0.8486558513185185,High
Ministry of Information and Broadcasting,Total,4661.16,30.84,4692.0,0.052097473484612244,Low
Ministry of Information and Broadcasting,61. Ministry of Information and Broadcasting,4661.16,30.84,4692.0,0.052097473484612244,Low
Ministry of Jal Shakti,Total,96915.99,361.68,97277.67,1.080119529725034,High
Ministry of Jal Shakti,"62. Department of Water Resources, River Development and Ganga Rejuvenation",19694.19,360.48,20054.67,0.22267639355661734,High
Ministry of Jal Shakti,63. Department of Drinking Water and Sanitation,77221.8,1.2,77223.0,0.8574431361684167,High
Ministry of Labour and Employment,Total,13183.86,37.87,13221.73,0.14680706054895615,Medium
Ministry of Labour and Employment,64. Ministry of Labour and Employment,13183.86,37.87,13221.73,0.14680706054895615,Medium
Ministry of Law and Justice,Total,2749.8,2002.78,4752.58,0.0527701215970798,Low
Ministry of Law and Justice,65. Law and Justice,2030.65,1944.78,3975.43,0.044141061171127885,Low
Ministry of Law and Justice,66. Election Commission,312.0,28.0,340.0,0.00377517923801538,Low
Ministry of Law and Justice,67. Supreme Court of India,407.15,30.0,437.15,0.004853881187936539,Low
"Ministry of Micro, Small and Medium Enterprises",Total,21543.43,594.52,22137.95,0.24580802709477226,High
"Ministry of Micro, Small and Medium Enterprises","68. Ministry of Micro, Small and Medium Enterprises",21543.43,594.52,22137.95,0.24580802709477226,High
Ministry of Mines,Total,1834.48,77.12,1911.6,0.021225390092324114,Low
Ministry of Mines,69. Ministry of Mines,1834.48,77.12,1911.6,0.021225390092324114,Low
Ministry of Minority Affairs,Total,3032.6,65.0,3097.6,0.03439410355198953,Low
Ministry of Minority Affairs,70. Ministry of Minority Affairs,3032.6,65.0,3097.6,0.03439410355198953,Low
Ministry of New and Renewable Energy,Total,10210.35,11.65,10222.0,0.11349965344409768,Medium
Ministry of New and Renewable Energy,71. Ministry of New and Renewable Energy,10210.35,11.65,10222.0,0.11349965344409768,Medium
Ministry of Panchayati Raj,Total,993.27,23.15,1016.42,0.011285787297363507,Low
Ministry of Panchayati Raj,72. Ministry of Panchayati Raj,993.27,23.15,1016.42,0.011285787297363507,Low
Ministry of Parliamentary Affairs,Total,59.0,4.0,63.0,0.0006995185058675556,Low
Ministry of Parliamentary Affairs,73. Ministry of Parliamentary Affairs,59.0,4.0,63.0,0.0006995185058675556,Low
"Ministry of Personnel, Public Grievances and Pensions",Total,1975.23,276.97,2252.2,0.02500723141134776,Low
"Ministry of Personnel, Public Grievances and Pensions","74. Ministry of Personnel, Public Grievances and Pensions",1932.02,275.72,2207.74,0.02451357120863551,Low
"Ministry of Personnel, Public Grievances and Pensions",75. Central Vigilance Commission,43.21,1.25,44.46,0.0004936602027122464,Low
Ministry of Petroleum and Natural Gas,Total,5498.74,35508.98,41007.72,0.45532792100690606,High
Ministry of Petroleum and Natural Gas,76. Ministry of Petroleum and Natural Gas,5498.74,35508.98,41007.72,0.45532792100690606,High
Ministry of Planning,Total,805.73,18.66,824.39,0.009153588270669115,Low
Ministry of Planning,77. Ministry of Planning,805.73,18.66,824.39,0.009153588270669115,Low
"Ministry of Ports, Shipping and Waterways",Total,1150.53,1068.21,2218.74,0.024635709360453655,Low
"Ministry of Ports, Shipping and Waterways","78. Ministry of Ports, Shipping and Waterways",1150.53,1068.21,2218.74,0.024635709360453655,Low
Ministry of Power,Total,20654.52,16.8,20671.32,0.22952334731285903,High
Ministry of Power,79. Ministry of Power,20654.52,16.8,20671.32,0.22952334731285903,High
"The President, Parliament, Union Public Service Commission and the Secretariat  of the Vice President",Total,1716.15,69.71,1785.86,0.01982923998235925,Low
"The President, Parliament, Union Public Service Commission and the Secretariat  of the Vice President","80. Staff, Household and Allowances of the President",87.73,2.41,90.14,0.0010008666368079599,Low
"The President, Parliament, Union Public Service Commission and the Secretariat  of the Vice President",81. Lok Sabha,786.51,35.49,822.0,0.009127050981319535,Low
"The President, Parliament, Union Public Service Commission and the Secretariat  of the Vice President",82. Rajya Sabha,474.35,10.06,484.41,0.005378631102020677,Low
"The President, Parliament, Union Public Service Commission and the Secretariat  of the Vice President",83. Secretariat of the Vice-President,9.1,0.21,9.31,0.0001033732903115388,Low
"The President, Parliament, Union Public Service Commission and the Secretariat  of the Vice President",84. Union Public Service Commission,358.46,21.54,380.0,0.004219317971899542,Low
Ministry of Railways,Total,1267.51,240000.0,241267.51,2.678906160469612,High
Ministry of Railways,85. Ministry of Railways,1267.51,240000.0,241267.51,2.678906160469612,High
Ministry of Road Transport and Highways,Total,11829.18,258605.53,270434.71,3.0027632424432653,High
Ministry of Road Transport and Highways,86. Ministry of Road Transport and Highways,11829.18,258605.53,270434.71,3.0027632424432653,High
Ministry of Rural Development,Total,159959.45,4.78,159964.23,1.7761577644738735,High
Ministry of Rural Development,87. Department of Rural Development,157541.48,3.52,157545.0,1.7492959207445087,High
Ministry of Rural Development,88. Department of Land Resources,2417.97,1.26,2419.23,0.02686184372936455,Low
Ministry of Science and Technology,Total,16263.66,97.76,16361.42,0.18166850908367527,Medium
Ministry of Science and Technology,89. Department of Science and Technology,7842.75,88.3,7931.05,0.08806216263429964,Medium
Ministry of Science and Technology,90. Department of Biotechnology,2683.86,0.0,2683.86,0.0298001545580587,Low
Ministry of Science and Technology,91. Department of Scientific and Industrial Research,5737.05,9.46,5746.51,0.06380619189131694,Medium
Ministry of Skill Development and Entrepreneurship,Total,3418.07,99.24,3517.31,0.03905434025195257,Low
Ministry of Skill Development and Entrepreneurship,92. Ministry of Skill Development and Entrepreneurship,3418.07,99.24,3517.31,0.03905434025195257,Low
Ministry of Social Justice and Empowerment,Total,13931.06,141.11,14072.17,0.1562498941700673,Medium
Ministry of Social Justice and Empowerment,93. Department of Social Justice and Empowerment,12706.97,140.05,12847.02,0.14264647992461277,Medium
Ministry of Social Justice and Empowerment,94. Department of Empowerment of Persons with Disabilities,1224.09,1.06,1225.15,0.013603414245454538,Low
Deparment of Space,Total,6187.1,6356.81,12543.91,0.13928090763392206,Medium
Deparment of Space,95. Department of Space,6187.1,6356.81,12543.91,0.13928090763392206,Medium
Ministry of Statistics and Programme Implementation,Total,5409.92,33.48,5443.4,0.06044061960062622,Medium
Ministry of Statistics and Programme Implementation,96. Ministry of Statistics and Programme Implementation,5409.92,33.48,5443.4,0.06044061960062622,Medium
Ministry of Steel,Total,67.98,2.17,70.15,0.0007789083045493497,Low
Ministry of Steel,97. Ministry of Steel,67.98,2.17,70.15,0.0007789083045493497,Low
Ministry of Textiles,Total,4362.53,26.81,4389.34,0.048736897754677724,Low
Ministry of Textiles,98. Ministry of Textiles,4362.53,26.81,4389.34,0.048736897754677724,Low
Ministry of Tourism,Total,2400.0,0.0,2400.0,0.02664832403304974,Low
Ministry of Tourism,99. Ministry of Tourism,2400.0,0.0,2400.0,0.02664832403304974,Low
Ministry of Tribal Affairs,Total,12414.95,46.93,12461.88,0.13837009012540913,Medium
Ministry of Tribal Affairs,100. Ministry of Tribal Affairs,12414.95,46.93,12461.88,0.13837009012540913,Medium
Ministry of Women and Child Development,Total,25443.67,5.08,25448.75,0.2825693900983644,High
Ministry of Women and Child Development,101. Ministry of Women and Child Development,25443.67,5.08,25448.75,0.2825693900983644,High
Ministry of Youth Affairs and Sports,Total,3389.56,7.76,3397.32,0.03772203508498356,Low
Ministry of Youth Affairs and Sports,102. Ministry of Youth Affairs and Sports,3389.56,7.76,3397.32,0.03772203508498356,Low
